Litob_id,Length,Width,Height,Rib count,Length (Hinge Line),Distance Umbos
60092,62.05,42.4,45.05,19,43.05,5.2
10093,59.6,47.35,41.3,20,38.5,5.05
20093,59.6,47.35,41.3,20,38.5,5.05
30093,59.6,47.35,41.3,20,38.5,5.05
40093,59.6,47.35,41.3,20,38.5,5.05
50093,59.6,47.35,41.3,20,38.5,5.05
60093,59.6,47.35,41.3,20,38.5,5.05
10094,41.3,37.05,32.35,20,29.05,5.05
20094,41.3,37.05,32.35,20,29.05,5.05
30094,41.3,37.05,32.35,20,29.05,5.05
40094,41.3,37.05,32.35,20,29.05,5.05
50094,41.3,37.05,32.35,20,29.05,5.05
60094,41.3,37.05,32.35,20,29.05,5.05
10095,49.65,35.5,33.05,20,31.35,2.85
20095,49.65,35.5,33.05,20,31.35,2.85
30095,49.65,35.5,33.05,20,31.35,2.85
40095,49.65,35.5,33.05,20,31.35,2.85
50095,49.65,35.5,33.05,20,31.35,2.85
60095,49.65,35.5,33.05,20,31.35,2.85
10096,64.8,48.5,43.45,20,39.05,4.05
20096,64.8,48.5,43.45,20,39.05,4.05
30096,64.8,48.5,43.45,20,39.05,4.05
40096,64.8,48.5,43.45,20,39.05,4.05
50096,64.8,48.5,43.45,20,39.05,4.05
60096,64.8,48.5,43.45,20,39.05,4.05
10097,48.7,34.3,33.05,20,29.3,2.15
20097,48.7,34.3,33.05,20,29.3,2.15
30097,48.7,34.3,33.05,20,29.3,2.15
40097,48.7,34.3,33.05,20,29.3,2.15
50097,48.7,34.3,33.05,20,29.3,2.15
60097,48.7,34.3,33.05,20,29.3,2.15
10098,41.1,33.05,29.05,19,24.05,2.05
20098,41.1,33.05,29.05,19,24.05,2.05
30098,41.1,33.05,29.05,19,24.05,2.05
40098,41.1,33.05,29.05,19,24.05,2.05
50098,41.1,33.05,29.05,19,24.05,2.05
60098,41.1,33.05,29.05,19,24.05,2.05
10099,41.1,31.5,31.1,19,26.3,2.05
20099,41.1,31.5,31.1,19,26.3,2.05
30099,41.1,31.5,31.1,19,26.3,2.05
40099,41.1,31.5,31.1,19,26.3,2.05
50099,41.1,31.5,31.1,19,26.3,2.05
60099,41.1,31.5,31.1,19,26.3,2.05
10100,56.35,43.05,42.3,19,35.05,6.1
20100,56.35,43.05,42.3,19,35.05,6.1
30100,56.35,43.05,42.3,19,35.05,6.1
40100,56.35,43.05,42.3,19,35.05,6.1
50100,56.35,43.05,42.3,19,35.05,6.1
60100,56.35,43.05,42.3,19,35.05,6.1
10101,46.55,36.85,32.6,19,32.05,3.05
20101,46.55,36.85,32.6,19,32.05,3.05
30101,46.55,36.85,32.6,19,32.05,3.05
40101,46.55,36.85,32.6,19,32.05,3.05
50101,46.55,36.85,32.6,19,32.05,3.05
60101,46.55,36.85,32.6,19,32.05,3.05
10102,41.5,35.1,32.1,19,22.05,4.05
